3 20:31:17
cd DOWN
cd DOWN
cd UP
cd LEFT
cd DOWN
cd RIGHT
cd DOWN
cd UP
cd RIGHT
cd LEFT
cd DOWN
cd LEFT
cd UP
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd RIGHT
cd UP
cd UP
cd DOWN
cd LEFT
cd RIGHT
cd RIGHT
cd UP
cd LEFT
cd UP
cd DOWN
cd RIGHT
cd RIGHT
cd DOWN
cd RIGHT
cd LEFT
cd RIGHT
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd DOWN
cd UP
cd DOWN
cd DOWN
cd UP
cd RIGHT
cd LEFT
cd RIGHT
cd DOWN
cd LEFT
cd DOWN
cd LEFT
cd DOWN
cd UP
cd RIGHT
cd DOWN
cd UP
cd RIGHT
cd LEFT
cd RIGHT
cd RIGHT
cd LEFT
cd DOWN
cd UP
cd DOWN
cd RIGHT
cd UP
cd UP
cd LEFT
cd UP
cd RIGHT
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd UP
cd LEFT
cd UP
cd DOWN
cd RIGHT
cd UP
cd LEFT
cd UP
cd DOWN
cd LEFT
cd RIGHT
cd RIGHT
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd RIGHT
cd UP
cd LEFT
cd UP
cd DOWN
cd LEFT
cd LEFT
cd DOWN
cd LEFT
cd DOWN
cd UP
cd UP
cd DOWN
cd LEFT
cd DOWN
cd UP
cd UP
cd RIGHT
cd UP
cd DOWN
cd LEFT
cd UP
cd RIGHT
cd RIGHT
cd DOWN
cd RIGHT
cd UP
cd RIGHT
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd LEFT
cd UP
cd RIGHT
cd UP
cd DOWN
cd RIGHT
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd UP
cd DOWN
cd LEFT
cd RIGHT
cd LEFT
cd LEFT
cd RIGHT
cd UP
cd DOWN
cd UP
cd LEFT
cd DOWN
cd DOWN
cd RIGHT
cd LEFT
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd LEFT
cd RIGHT
cd UP
cd UP
cd DOWN
cd LEFT
cd DOWN
cd DOWN
cd RIGHT
cd DOWN
cd LEFT
cd LEFT
cd RIGHT
cd LEFT
cd DOWN
cd RIGHT
cd LEFT
cd LEFT
cd RIGHT
cd UP
cd LEFT
cd RIGHT
cd LEFT
cd UP
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd LEFT
cd LEFT
cd RIGHT
cd UP
cd DOWN
cd LEFT
cd UP
cd RIGHT
cd UP
cd DOWN
cd LEFT
cd UP
cd DOWN
cd DOWN
cd LEFT
cd RIGHT
cd LEFT
cd DOWN
cd UP
cd DOWN
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd DOWN
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd DOWN
cd RIGHT
cd LEFT
cd RIGHT
cd DOWN
cd UP
cd RIGHT
cd LEFT
cd DOWN
cd RIGHT
cd UP
cd RIGHT
cd UP
cd DOWN
cd LEFT
cd DOWN
cd DOWN
cd UP
cd LEFT
cd DOWN
cd RIGHT
cd DOWN
cd UP
cd RIGHT
cd LEFT
cd DOWN
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd RIGHT
cd RIGHT
cd LEFT
cd DOWN
cd LEFT
cd LEFT
cd UP
cd LEFT
cd RIGHT
cd DOWN
cd LEFT
cd RIGHT
cd DOWN
cd UP
cd DOWN
cd LEFT
cd RIGHT
cd RIGHT
cd UP
cd DOWN
cd DOWN
cd UP
cd RIGHT
cd RIGHT
cd DOWN
cd UP
cd DOWN
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd LEFT
cd DOWN
cd UP
cd DOWN
cd DOWN
cd UP
cd LEFT
cd RIGHT
cd LEFT
cd DOWN
cd RIGHT
cd RIGHT
cd LEFT
cd LEFT
cd LEFT
cd RIGHT
